TF	target	importance
Gad1	Npas1	16.350702398008483
Syt4	Npy2r	16.341068178306728
Gpr165	Ar	16.332746480682637
Nos1	Irs4	16.307120534950293
Gpr165	Oprk1	16.30679037707069
Mc4r	Rxfp1	16.249392209063494
Sema4d	Omp	16.213407984871154
Sox6	Aqp4	16.209865265206275
Slc17a6	Gabra1	16.20445313561848
Ar	Calcr	16.182787497291542
Rxfp1	Mc4r	16.176304528116827
Irs4	Coch	16.131771882135386
Sox8	Traf4	16.130805030347794
Ntng1	Ramp3	16.127526981971616
Cbln1	Bdnf	16.11101103070612
Ttyh2	Ccnd2	16.077780470899725
Ermn	Cspg5	16.05981376310464
Slc18a2	Oprd1	16.04243985051245
Pak3	Cspg5	15.980237139732198
Pak3	Plin3	15.92486486526102
Sox6	Sox8	15.920546486888837
Pak3	Pnoc	15.889245176979188
Slc17a6	Ntsr1	15.881200083690736
Oprl1	Dgkk	15.86394698831293
Ndrg1	Creb3l1	15.837693060545561
Gpr165	Gabra1	15.828846374307204
Mlc1	Tiparp	15.81678611735568
Gad1	Syt4	15.796199186008673
Gad1	Cbln1	15.790196326162905
Pak3	Ttyh2	15.784712160282943
Pgr	Igf2r	15.777229702876241
Bdnf	Slc17a6	15.777013949187236
Gda	Ntsr1	15.767054597618802
Ermn	Baiap2	15.763776820289053
Esr1	Calcr	15.75017720554793
Mlc1	Omp	15.749155562376027
Necab1	Rxfp1	15.734164040960755
Ar	Pgr	15.72464242914791
Cspg5	Gjc3	15.687687926343019
Cbln1	Onecut2	15.67924732767529
Gda	Oprd1	15.649978580554134
Dgkk	Npy2r	15.586102930731121
Ndrg1	Sox6	15.57099669461325
Cspg5	Sox6	15.532292665620643
Esr1	Gda	15.528221108914869
Oprl1	Isl1	15.491855060819475
Traf4	Bmp7	15.460719441800876
Syt4	Prlr	15.42618582052635
Aldh1l1	Cspg5	15.42470169110884
Gabra1	Ar	15.396084886862706
Sema3c	Klf4	15.393179050628927
Gad1	Arhgap36	15.384409972495606
Oprd1	Htr2c	15.382208675243401
Pgr	Crhr1	15.374530101447368
Sgk1	Sox4	15.340700062436955
Sox6	Aldh1l1	15.30917468111317
Fn1	Cspg5	15.307420518157617
Ttyh2	Pak3	15.303135715959716
Glra3	Ano3	15.293889382665386
Pgr	Ntng1	15.290259265359504
Gad1	Oprd1	15.25308558680664
Ntng1	Trhr	15.243846425703143
Baiap2	Ano3	15.216361005619804
Ntsr1	Ebf3	15.20910241664094
Gabra1	Tmem108	15.187486158024072
Ttyh2	Ndrg1	15.16172876106808
Aldh1l1	Sgk1	15.125498615757596
Selplg	Ebf3	15.105221740364609
Aldh1l1	Cyr61	15.10379698590995
Cpne5	Slc17a6	15.023565653372367
Oprk1	Slc18a2	14.9502397014732
Syt4	Onecut2	14.880638985187826
Cbln2	Necab1	14.878038454900706
Ar	Col25a1	14.874091006042283
Oprl1	Oprd1	14.862391240828439
Lpar1	Gjc3	14.831649716528435
Cbln1	Crhr2	14.830000169085638
Syt4	Plin3	14.815790002280513
Slc18a2	Oprk1	14.742147727452691
Serpinb1b	Dgkk	14.728904049653783
Sox6	Cxcl14	14.724840147535955
Cbln2	Gpr165	14.716431840924141
Ebf3	Ntsr1	14.70683550178503
Cspg5	Pcdh11x	14.688602913558485
Irs4	Gad1	14.681103684285533
Nos1	Gda	14.678140363926369
Ar	Syt4	14.678072507688402
Sox8	Baiap2	14.64449025669617
Aldh1l1	Ndrg1	14.628773781630308
Gpr165	Pnoc	14.601917737924868
Htr2c	Cpne5	14.59427246018698
Lpar1	Ttyh2	14.578669030984672
Slco1a4	Ndrg1	14.570875296640342
Slc17a6	Isl1	14.558280549212391
Gad1	Sema3c	14.552221781256998
Pou3f2	Sox6	14.539493240501631
Gda	Ano3	14.496159551374607
Pgr	Dgkk	14.485534921624065
Pgr	Ar	14.46929322295174
Oprl1	Igf2r	14.464161044845106
Slc17a6	Igf2r	14.452691443108394
Tmem108	Pnoc	14.451680709803673
Cxcl14	Cspg5	14.451271295390058
Prlr	Oprk1	14.447758317887736
Amigo2	Gabrg1	14.42195290977663
Irs4	Pgr	14.389362930110572
Slc17a6	Syt4	14.386715181850336
Serpinb1b	Nos1	14.373620262262738
Mlc1	Gad1	14.309360312090549
Rgs5	Igf1r	14.292635944152032
Sox6	Bmp7	14.28546077382998
Pak3	Htr2c	14.278594242082168
Oprl1	Coch	14.267787632473155
Sox6	Pou3f2	14.26181259898195
Gad1	Pak3	14.261790688641666
Oprl1	Galr1	14.258681575898484
Ttyh2	Cd24a	14.257866420739816
Igf2r	Rnd3	14.206846535121915
Gabra1	Pgr	14.188838581799484
Gjc3	Ttyh2	14.162976059716314
Sgk1	Gabrg1	14.156134956187213
Slco1a4	Cdkn1a	14.13881487657229
Col25a1	Coch	14.134059059874199
Cd24a	Cyr61	14.129640577564503
Gpr165	Galr1	14.084861030915041
Oprl1	Ntng1	14.06601550692802
Syt2	Npas1	14.05161338187363
Ndrg1	Pou3f2	14.001868968469608
Adora2a	Sema4d	13.932478120950256
Gabra1	Crhr1	13.93028039365384
Cxcl14	Gabrg1	13.919628450448107
Pdgfra	Etv1	13.914490149595123
Cd24a	Sox4	13.8929009664536
Gpr165	Oprl1	13.869779297836635
Syt4	Fst	13.864004222246445
Bdnf	Cbln1	13.862213599503558
Syt4	Kiss1r	13.860560527658594
Coch	Ramp3	13.808729731446764
Isl1	Htr2c	13.799125758334753
Ttyh2	Cbln2	13.749821381341059
Myh11	Fn1	13.748521545656468
Aqp4	Plin3	13.718760950987619
Ttyh2	Sox4	13.713219349461893
Syt2	Fezf1	13.68010443309148
Syt4	Cd24a	13.658942659412855
Gpr165	Slc17a6	13.62424711626254
Cpne5	Syt4	13.614559609366653
Sox8	Cxcl14	13.611965301719808
Myh11	Sema4d	13.598960723092134
Pgr	Cplx3	13.59410376568815
Cpne5	Gad1	13.594041710072052
Mlc1	Sema4d	13.575082565737166
Crhr1	Oprd1	13.563562406910531
Pgr	Rgs2	13.556554232269907
Ar	Arhgap36	13.555678127271529
Baiap2	Rnd3	13.515322565971301
Mlc1	Oprl1	13.513288251462702
Tacr1	Chat	13.508144161612273
Sox8	Ermn	13.505284662733427
Sox8	Bmp7	13.496434801960783
Ttyh2	Tmem108	13.484248325061678
Ano3	Cyp19a1	13.461240197566969
Igf2r	Baiap2	13.460998629760565
Cxcl14	Cyr61	13.448302081559776
Sox4	Selplg	13.437491445174794
Oprl1	Kiss1r	13.434880734787649
Aqp4	Ndrg1	13.434365329165617
Gabra1	Arhgap36	13.42684457254496
Crhr1	Syt2	13.41281565206193
Syt4	Crhr1	13.410762179680994
Gabrg1	Trhr	13.388602685288289
Pgr	Avpr1a	13.382593222179937
Gda	Sytl4	13.351864207119212
Ntsr1	Chat	13.347977032768915
Igf1r	Cdkn1a	13.34685278157925
Cd24a	Greb1	13.336468863910053
Pgr	Slc18a2	13.335770160687964
Pak3	Tacr3	13.333967774115628
Necab1	Gad1	13.322404195874496
Pou3f2	Mlc1	13.27525984616429
Pgr	Pcdh11x	13.26350592489616
Ar	Krt90	13.252902655334779
Irs4	Glra3	13.213790057815
Klf4	Igf1r	13.14205993192905
Oprl1	Gabrg1	13.134576537713416
Pgr	Prlr	13.118202628778432
Cpne5	Pak3	13.098302708642517
Slc18a2	Isl1	13.08969994512637
Ttyh2	Baiap2	13.075716744976468
Lpar1	Amigo2	13.049395936538353
Cd24a	Creb3l1	13.046516678896587
Pak3	Synpr	13.02940308496827
Gpr165	Serpine1	12.997345857152284
Oprl1	Cckar	12.995262365567703
Cd24a	Galr2	12.991964024974434
Cd24a	Man1a	12.989634655016097
Gpr165	Htr2c	12.981529822322457
Pgr	Npy1r	12.974896778209514
Pak3	Cbln1	12.972960158569382
Ar	Slc15a3	12.938142578091202
Oprk1	Htr2c	12.930072369786803
Prlr	Brs3	12.906193561331929
Gad1	Rgs2	12.893130519889562
Isl1	Rxfp1	12.892060730573661
Ar	Htr2c	12.884487481723113
Gpr165	Mc4r	12.863857053208378
Isl1	Oprk1	12.837837136107495
Ar	Galr1	12.833968017544194
Traf4	Creb3l1	12.830093968186073
Ndrg1	Gabrg1	12.802276271583699
Syt4	Cspg5	12.793125906383562
Ndrg1	Slco1a4	12.792458753067764
Galr2	Mki67	12.776391389102924
Syt2	Crhr1	12.770676689991715
Ttyh2	Pou3f2	12.763205998347978
Myh11	Ace2	12.736585153359998
Bmp7	Lmod1	12.729500211955006
Igf2r	Sox4	12.658235729377173
Oprk1	Isl1	12.640686524130784
Crhr1	Oxtr	12.632949406439081
Gabra1	Cckar	12.61963448442227
Syt4	Isl1	12.612742584991384
Pak3	Slc15a3	12.609190357520605
Aqp4	Gad1	12.574568676019446
Amigo2	Htr2c	12.568522328901654
Gpr165	Cplx3	12.506888647052618
Baiap2	Creb3l1	12.497334748775097
Mlc1	Gabra1	12.495017812585367
Ebf3	Slc17a6	12.47287338858103
Gad1	Cpne5	12.465459584299307
Arhgap36	Irs4	12.441913303199453
Ar	Cpne5	12.412291554225638
Slc18a2	Gem	12.412116483952838
Pnoc	Isl1	12.411951035293427
Prlr	Ramp3	12.400056978670847
Pou3f2	Tiparp	12.39560278393422
Nos1	Cbln1	12.395136463769695
Cd24a	Krt90	12.392921976972401
